;antecedents;consequents;antecedent support;consequent support;support;confidence;lift;leverage;conviction
12;frozenset({'DAGING AYAM FILLET DADA KG'});frozenset({'TELUR AYAM NEGERI KG'});0.08838821490467938;0.053726169844020795;0.019064124783362217;0.2156862745098039;4.014547754585705;0.014315364537183604;1.2064991334488735
13;frozenset({'TELUR AYAM NEGERI KG'});frozenset({'DAGING AYAM FILLET DADA KG'});0.053726169844020795;0.08838821490467938;0.019064124783362217;0.3548387096774194;4.014547754585705;0.014315364537183604;1.412998266897747
0;frozenset({'DAGING AYAM FILLET DADA KG'});frozenset({'DAGING AYAM FILLET PAHA KG'});0.08838821490467938;0.07105719237435008;0.01559792027729636;0.1764705882352941;2.4835007173601147;0.00931730188718916;1.1280019806882893
1;frozenset({'DAGING AYAM FILLET PAHA KG'});frozenset({'DAGING AYAM FILLET DADA KG'});0.07105719237435008;0.08838821490467938;0.01559792027729636;0.21951219512195122;2.4835007173601147;0.00931730188718916;1.1680025996533794
4;frozenset({'DAGING AYAM CEKER KG'});frozenset({'DAGING AYAM PAHA BAWAH KG'});0.053726169844020795;0.0415944540727903;0.012131715771230503;0.22580645161290325;5.428763440860215;0.009897005067146449;1.237940496822646
5;frozenset({'DAGING AYAM PAHA BAWAH KG'});frozenset({'DAGING AYAM CEKER KG'});0.0415944540727903;0.053726169844020795;0.012131715771230503;0.29166666666666663;5.428763440860215;0.009897005067146449;1.3359159955143236
6;frozenset({'DAGING AYAM FILLET PAHA KG'});frozenset({'DAGING AYAM PAHA BAWAH KG'});0.07105719237435008;0.0415944540727903;0.012131715771230503;0.17073170731707318;4.104674796747967;0.009176130646474174;1.1557243347945765
7;frozenset({'DAGING AYAM PAHA BAWAH KG'});frozenset({'DAGING AYAM FILLET PAHA KG'});0.0415944540727903;0.07105719237435008;0.012131715771230503;0.29166666666666663;4.104674796747967;0.009176130646474174;1.3114486695891527
8;frozenset({'DAGING AYAM FILLET PAHA KG'});frozenset({'DAGING AYAM SAYAP KG'});0.07105719237435008;0.045060658578856154;0.012131715771230503;0.17073170731707318;3.7889305816135086;0.008929831886077813;1.1515444999490265
9;frozenset({'DAGING AYAM SAYAP KG'});frozenset({'DAGING AYAM FILLET PAHA KG'});0.045060658578856154;0.07105719237435008;0.012131715771230503;0.2692307692307692;3.7889305816135086;0.008929831886077813;1.2711848946456261
2;frozenset({'JAB YOGURT LECI 250ML [DISCONTINUED]'});frozenset({'JAB YOGURT MELON 250ML [DISCONTINUED]'});0.01559792027729636;0.01733102253032929;0.010398613518197574;0.6666666666666667;38.46666666666667;0.010128285610445471;2.948006932409013
3;frozenset({'JAB YOGURT MELON 250ML [DISCONTINUED]'});frozenset({'JAB YOGURT LECI 250ML [DISCONTINUED]'});0.01733102253032929;0.01559792027729636;0.010398613518197574;0.6000000000000001;38.46666666666667;0.010128285610445471;2.4610051993067596
10;frozenset({'JAB YOGURT SIRSAK 250ML [DISCONTINUED]'});frozenset({'JAB YOGURT STROBERI 250ML [DISCONTINUED]'});0.010398613518197574;0.01559792027729636;0.010398613518197574;1.0;64.11111111111111;0.010236416773546312;inf
11;frozenset({'JAB YOGURT STROBERI 250ML [DISCONTINUED]'});frozenset({'JAB YOGURT SIRSAK 250ML [DISCONTINUED]'});0.01559792027729636;0.010398613518197574;0.010398613518197574;0.6666666666666667;64.11111111111111;0.010236416773546312;2.968804159445408
