,,1,2,3
Length,count,264.0,691.0,341.0
Length,mean,244.12878787878788,79.28943560057887,274.68621700879766
Length,std,83.93333451848615,42.78127913881792,64.7047008297729
Length,min,51.0,2.0,159.0
Length,25%,172.75,46.0,213.0
Length,50%,252.0,82.0,283.0
Length,75%,314.0,111.0,334.0
Length,max,365.0,217.0,364.0
Recency,count,264.0,691.0,341.0
Recency,mean,49.43560606060606,63.26483357452967,242.74780058651027
Recency,std,41.332322178478115,41.582753801355494,75.51221776582285
Recency,min,1.0,1.0,68.0
Recency,25%,21.0,27.0,185.0
Recency,50%,45.0,56.0,235.0
Recency,75%,66.0,95.0,314.0
Recency,max,269.0,155.0,364.0
Frequency,count,264.0,691.0,341.0
Frequency,mean,21.598484848484848,1.7901591895803184,1.81524926686217
Frequency,std,43.553884260734876,1.2537324463719153,1.4885451877314928
Frequency,min,2.0,1.0,1.0
Frequency,25%,6.0,1.0,1.0
Frequency,50%,10.0,1.0,1.0
Frequency,75%,19.0,2.0,2.0
Frequency,max,522.0,10.0,18.0
Monetary,count,264.0,691.0,341.0
Monetary,mean,4457373.177727273,315577.3117221418,289244.60413489735
Monetary,std,8849961.291005572,295820.18678808195,339162.36981885706
Monetary,min,148500.0,22000.0,18900.0
Monetary,25%,779750.0,149575.0,100000.0
Monetary,50%,1840900.0,207900.0,200000.0
Monetary,75%,3518600.0,384420.0,369700.0
Monetary,max,66570810.0,2574980.0,3716000.0
